Entry_No,Date,Description,WorkDescription,Contact_No,Contact_Name,Contact_Company_Name,Duration_Min,Salesperson_Code,User_ID,Quote_ID,Quote_Amount,Quote_Age_Days,Customer_Type,Source_Channel,Product_Type,Past_Interactions,Prior_Orders,Salesperson,Lead_Priority
2280,2024-10-05,Service call,Install product,69447926,Kellie Perkins,"Ayers, Mckee and Collins",140,858,371,Q2379,430811,23,Individual,Email,High-margin,"5 (calls, visits)",2,PMMULWA,Medium Priority
2281,2024-11-20,Consultation,Inspect equipment,44419369,Wesley Spence,Hill-Anthony,179,445,382,Q2380,110814,26,Individual,Walk-in,High-margin,1 (visit),12,PMMULWA,Medium Priority
2282,2024-06-22,Service call,Inspect equipment,84391611,Christopher Brown,Morales PLC,170,445,368,Q2381,154729,18,Reseller,Shopify,High-margin,"4 (calls, visits)",6,PMMULWA,Medium Priority
2283,2025-03-27,Installation request,Upgrade system,65098877,Maria Lee,"Johnston, Fernandez and Schwartz",130,445,349,Q2382,117634,23,Contractor,FloApp,Low-margin,"5 (calls, visits)",11,PMOMONDI,Medium Priority
2284,2024-08-21,Installation request,Install product,09075627,Terry Roberts,Caldwell-Romero,170,858,334,Q2383,413352,29,Government,Website,High-margin,"4 (calls, visits)",0,PMMULWA,Medium Priority
2285,2024-09-30,Service call,Repair machinery,70483947,Shannon Knight,Shields-Ramsey,52,514,365,Q2384,373339,3,Reseller,Referral,Low-margin,"6 (calls, visits, emails)",9,PMAMAI,Medium Priority
2286,2024-12-24,Service call,Inspect equipment,52190147,Jessica Reed,Chavez-Graham,80,858,349,Q2385,391503,28,Contractor,Email,Low-margin,"5 (calls, visits)",6,PMKILONZO,Medium Priority
2287,2025-03-31,Installation request,Inspect equipment,75700679,Barbara Dean MD,Thomas LLC,16,369,375,Q2386,449864,23,Individual,Referral,High-margin,"6 (calls, visits, emails)",7,PMNYABUTO,Medium Priority
2288,2024-10-17,Service call,Repair machinery,13593044,Kaitlin Hopkins,Rivera-Wood,118,445,395,Q2387,40503,18,Corporate,Email,Low-margin,"6 (calls, visits, emails)",5,PMAMAI,Medium Priority
2289,2024-08-23,Consultation,Repair machinery,61800703,Craig Lawrence,Scott-Wade,116,858,357,Q2388,266004,3,Government,Email,High-margin,"4 (calls, visits)",13,PMKILONZO,Medium Priority
2290,2025-03-17,Service call,Install product,53581564,Jesus Andrews,Smith LLC,45,445,395,Q2389,231651,29,Individual,FloApp,High-margin,1 (visit),4,PMNYABUTO,Low Priority
2291,2024-12-06,Service call,Repair machinery,19783937,David Soto,White PLC,78,106,375,Q2390,310326,1,Contractor,Walk-in,Low-margin,"4 (calls, visits)",7,PMKILONZO,Medium Priority
2292,2024-06-12,Installation request,Inspect equipment,99945225,Christopher White,Smith Group,168,514,312,Q2391,273697,27,Reseller,Referral,High-margin,2 (calls),9,PMMULWA,Medium Priority
2293,2024-06-08,Installation request,Install product,95660691,Kaitlin Flores,Reyes-Kemp,80,445,303,Q2392,348371,5,Individual,Walk-in,Low-margin,"3 (calls, visits)",2,PMKILONZO,Medium Priority
2294,2024-09-11,Installation request,Upgrade system,10039428,Christian Morrison,Henry-Pierce,102,858,339,Q2393,98459,27,Reseller,Website,High-margin,"4 (calls, visits)",7,PMKILONZO,Medium Priority
2295,2024-06-23,Service call,Upgrade system,25754190,Ashley Alvarado,"Diaz, Ruiz and Clark",65,514,372,Q2394,331475,25,NGO,Email,Mixed,"4 (calls, visits)",10,PMMULWA,Medium Priority
2296,2024-11-27,Consultation,Repair machinery,39290723,Miss Robin Marshall,Warren Inc,173,369,362,Q2395,384299,14,Reseller,FloApp,Mixed,"3 (calls, visits)",1,PMAMAI,Medium Priority
2297,2024-07-26,Service call,Inspect equipment,08637601,Brenda Munoz,Salinas-Daniel,10,369,395,Q2396,445259,10,NGO,Website,Low-margin,2 (calls),8,PMMULWA,Medium Priority
2298,2024-10-17,Consultation,Inspect equipment,00249394,Destiny Benton,Reilly and Sons,150,858,361,Q2397,98757,5,Government,Referral,High-margin,1 (visit),9,PMKILONZO,Medium Priority
2299,2024-11-02,Service call,Repair machinery,41218540,Christian Marshall,"Clark, Newman and Larson",26,445,346,Q2398,169699,12,Corporate,Email,Low-margin,"3 (calls, visits)",15,PMMULWA,Medium Priority
2300,2024-08-29,Consultation,Repair machinery,32861225,Susan Black,Smith Group,48,445,311,Q2399,85008,8,Corporate,Referral,High-margin,"5 (calls, visits)",14,PMOMONDI,High Priority
2301,2024-09-15,Installation request,Repair machinery,15814510,Heather Bennett,"Fields, Thompson and Mccormick",26,369,388,Q2400,29234,9,Contractor,Referral,High-margin,2 (calls),14,PMKILONZO,Medium Priority
2302,2024-07-12,Consultation,Upgrade system,97658253,Robin Gibson,Taylor PLC,118,514,365,Q2401,126879,1,Corporate,Referral,Mixed,"5 (calls, visits)",1,PMAMAI,Medium Priority
2303,2024-07-09,Service call,Upgrade system,28136932,James Quinn,"Miller, Duncan and Sanchez",72,514,339,Q2402,133071,18,Contractor,FloApp,High-margin,1 (visit),8,PMNYABUTO,Medium Priority
2304,2024-08-21,Installation request,Upgrade system,82121606,Diane Washington,Garcia-Hobbs,146,858,321,Q2403,355986,3,Contractor,Shopify,Low-margin,1 (visit),14,PMAMAI,Medium Priority
2305,2025-01-14,Service call,Upgrade system,80702378,Brandon Wilkerson,Bryant-Murray,171,106,340,Q2404,246902,9,Individual,FloApp,Low-margin,1 (visit),13,PMOMONDI,Medium Priority
2306,2024-07-12,Consultation,Install product,07553585,Diana Lang,"Lane, Valdez and Morton",46,858,374,Q2405,369219,6,Individual,Email,High-margin,"3 (calls, visits)",5,PMNYABUTO,Medium Priority
2307,2024-09-18,Service call,Upgrade system,13283253,Michelle Wright,Wilcox-Mendoza,18,514,323,Q2406,127360,1,Individual,Referral,High-margin,"3 (calls, visits)",10,PMAMAI,Medium Priority
2308,2025-04-25,Consultation,Inspect equipment,90487402,Darrell Foster,"Buchanan, Mooney and Phillips",45,369,336,Q2407,413445,3,Contractor,FloApp,Low-margin,1 (visit),12,PMKILONZO,Medium Priority
2309,2025-03-23,Installation request,Install product,97783440,Kelly Taylor,Hernandez-Stewart,36,445,309,Q2408,159267,10,Corporate,Referral,Low-margin,1 (visit),3,PMKILONZO,Medium Priority
2310,2024-08-14,Installation request,Repair machinery,53409022,Alyssa Myers,"Rocha, Hunt and Mitchell",62,106,318,Q2409,92488,4,Individual,FloApp,High-margin,"3 (calls, visits)",7,PMOMONDI,Medium Priority
2311,2025-05-04,Service call,Repair machinery,78481696,Shannon Mccall,Harrison-Robinson,180,369,306,Q2410,220264,12,Individual,Email,High-margin,"6 (calls, visits, emails)",1,PMAMAI,Medium Priority
2312,2024-10-25,Service call,Repair machinery,32101228,Thomas Ross,Lawson-Scott,75,106,339,Q2411,134615,7,Government,Website,High-margin,"6 (calls, visits, emails)",5,PMMULWA,Medium Priority
2313,2024-11-19,Service call,Upgrade system,59719700,Tiffany Owens,"Smith, Wagner and Mcguire",39,369,320,Q2412,152536,23,Government,FloApp,High-margin,"4 (calls, visits)",9,PMMULWA,Medium Priority
2314,2024-06-27,Service call,Repair machinery,76998068,Betty Decker,Duran-Norris,87,369,364,Q2413,234572,9,NGO,Referral,High-margin,1 (visit),5,PMMULWA,Medium Priority
2315,2025-03-14,Consultation,Upgrade system,12334452,Kristen Middleton,Jones and Sons,119,369,334,Q2414,116156,23,Contractor,Email,Mixed,"3 (calls, visits)",7,PMKILONZO,Medium Priority
2316,2024-10-16,Installation request,Upgrade system,29609686,Christine Esparza,Logan Inc,170,369,335,Q2415,372011,18,Government,Email,Low-margin,2 (calls),15,PMNYABUTO,Medium Priority
2317,2025-04-27,Installation request,Upgrade system,11312916,Kayla Jones,"Mendez, Cox and Wilson",33,445,388,Q2416,118094,12,Reseller,FloApp,Mixed,"5 (calls, visits)",2,PMMULWA,Medium Priority
2318,2024-06-28,Installation request,Upgrade system,38510480,Robert Santos,Smith-West,50,445,400,Q2417,154125,27,Corporate,Referral,High-margin,"4 (calls, visits)",13,PMMULWA,Medium Priority
2319,2025-01-03,Service call,Inspect equipment,57998317,Charles Morgan,"Quinn, Higgins and Nunez",131,445,328,Q2418,155659,12,Government,Email,High-margin,"3 (calls, visits)",14,PMMULWA,Medium Priority
2320,2024-08-30,Installation request,Upgrade system,89032916,Tyler Black,"Dennis, Wyatt and Ford",91,369,343,Q2419,134250,17,Government,Email,Low-margin,"4 (calls, visits)",4,PMOMONDI,Low Priority
2321,2024-09-27,Consultation,Inspect equipment,68567717,Alexander Mullins,Smith Ltd,73,369,337,Q2420,131193,28,Corporate,Shopify,High-margin,"5 (calls, visits)",4,PMMULWA,Medium Priority
2322,2024-05-15,Service call,Inspect equipment,80443486,Shannon Webb,"Holden, Martinez and Flores",131,514,320,Q2421,361044,14,Corporate,Email,Mixed,2 (calls),7,PMMULWA,Medium Priority
2323,2024-09-07,Installation request,Repair machinery,46335780,James Watson,"Johnson, Gilbert and Blevins",178,445,352,Q2422,312587,10,Government,Email,High-margin,"6 (calls, visits, emails)",0,PMKILONZO,Medium Priority
2324,2024-05-27,Service call,Upgrade system,48884827,Daniel Lowery,Carlson LLC,147,369,337,Q2423,321488,15,Government,Email,High-margin,"5 (calls, visits)",2,PMKILONZO,Medium Priority
2325,2025-02-12,Service call,Inspect equipment,79119354,Matthew Martinez,Jones-Skinner,67,106,310,Q2424,78218,12,Government,Email,High-margin,"4 (calls, visits)",2,PMAMAI,Medium Priority
2326,2025-03-17,Service call,Install product,97787604,Dakota Conrad,Wolfe-Jones,137,369,360,Q2425,93576,12,Contractor,Shopify,Low-margin,1 (visit),3,PMMULWA,Low Priority
2327,2024-06-09,Consultation,Upgrade system,34995907,Samuel Acevedo,"Oliver, Williams and Mccoy",133,106,391,Q2426,35013,17,Individual,Shopify,Low-margin,"5 (calls, visits)",6,PMAMAI,Low Priority
2328,2025-02-12,Service call,Install product,67272585,Melissa Smith,"Mayo, Wright and Lopez",83,858,400,Q2427,128001,18,NGO,Shopify,High-margin,"3 (calls, visits)",8,PMNYABUTO,Medium Priority
2329,2024-12-26,Consultation,Repair machinery,76376132,James Lewis,Williams-Martin,109,445,344,Q2428,418558,12,Individual,Walk-in,Low-margin,"4 (calls, visits)",4,PMOMONDI,Low Priority
2330,2025-04-20,Consultation,Inspect equipment,79008973,Tony Bright,Carr-Collins,12,369,350,Q2429,455261,18,NGO,Referral,Mixed,1 (visit),3,PMNYABUTO,Medium Priority
2331,2024-10-09,Consultation,Upgrade system,78044890,Shannon Merritt,Fowler Inc,108,445,372,Q2430,266258,2,Government,Shopify,High-margin,"6 (calls, visits, emails)",0,PMKILONZO,Medium Priority
2332,2024-06-30,Consultation,Repair machinery,95120713,Penny Peterson,"Mercer, Pitts and Smith",65,445,328,Q2431,339615,3,Contractor,Website,Mixed,1 (visit),5,PMMULWA,Medium Priority
2333,2024-12-17,Consultation,Install product,11241449,Tracy Ramos,"Duarte, Jensen and Cannon",39,858,399,Q2432,401656,7,Government,Referral,High-margin,"5 (calls, visits)",1,PMAMAI,Medium Priority
2334,2025-03-06,Service call,Repair machinery,60920297,Henry Mendoza,"Johnson, Williams and Mcintosh",69,445,334,Q2433,137954,15,Corporate,Shopify,Mixed,"6 (calls, visits, emails)",6,PMMULWA,Medium Priority
2335,2025-04-27,Consultation,Install product,42358058,Teresa Martin,Brown-Anderson,82,514,372,Q2434,310996,25,Corporate,FloApp,High-margin,1 (visit),2,PMKILONZO,Medium Priority
2336,2025-01-04,Installation request,Repair machinery,31094755,Victoria Thompson,Ballard Inc,19,514,332,Q2435,310424,2,Contractor,Shopify,High-margin,"3 (calls, visits)",2,PMAMAI,Medium Priority
2337,2025-04-24,Service call,Inspect equipment,07741659,Mr. Jonathan Decker,Brown-Flowers,177,369,304,Q2436,103916,16,Government,Shopify,Mixed,1 (visit),12,PMOMONDI,Medium Priority
2338,2024-11-23,Service call,Install product,97338899,Henry Macdonald,"Mitchell, Salas and Hughes",168,106,305,Q2437,154209,9,Individual,Website,Mixed,2 (calls),8,PMOMONDI,Medium Priority
2339,2024-06-13,Consultation,Inspect equipment,01944586,Daniel Smith,Sanders-Henry,87,106,333,Q2438,490649,4,Contractor,Walk-in,High-margin,1 (visit),13,PMAMAI,High Priority
2340,2025-02-25,Consultation,Upgrade system,21044744,Kelly Jackson,Brown-Bell,154,514,362,Q2439,464003,30,Government,Website,High-margin,"5 (calls, visits)",12,PMAMAI,High Priority
2341,2024-06-14,Service call,Inspect equipment,23780434,Aaron Hanson,"Alvarado, Martin and Underwood",133,514,389,Q2440,488344,2,Reseller,Website,High-margin,2 (calls),3,PMOMONDI,Medium Priority
2342,2025-02-28,Consultation,Inspect equipment,59268771,James Washington,Jones PLC,14,369,338,Q2441,268233,21,Contractor,Walk-in,Mixed,"5 (calls, visits)",2,PMMULWA,Medium Priority
2343,2025-04-04,Service call,Install product,35653813,Brittany Brady,"Chandler, Williams and Green",43,106,358,Q2442,471213,20,NGO,FloApp,High-margin,"4 (calls, visits)",2,PMOMONDI,Low Priority
2344,2025-02-17,Service call,Upgrade system,29515974,Rebecca Lloyd,"Jordan, Boone and Lynch",131,106,347,Q2443,282351,12,NGO,Shopify,High-margin,1 (visit),7,PMOMONDI,Medium Priority
2345,2024-10-26,Service call,Install product,33955260,Maria Allen,Tyler and Sons,173,858,338,Q2444,347262,3,Corporate,Shopify,High-margin,"5 (calls, visits)",9,PMNYABUTO,High Priority
2346,2024-11-12,Service call,Repair machinery,64201025,Jennifer Copeland,Dominguez LLC,40,445,336,Q2445,484789,1,Contractor,Email,High-margin,"3 (calls, visits)",6,PMMULWA,High Priority
2347,2024-08-15,Service call,Upgrade system,00370531,Theresa Wang,Grant-Stevenson,162,858,384,Q2446,122279,12,Contractor,Shopify,Low-margin,"3 (calls, visits)",10,PMNYABUTO,Medium Priority
2348,2024-12-13,Installation request,Repair machinery,72234352,Anthony Palmer,Peck Inc,177,858,394,Q2447,188519,28,Contractor,Website,High-margin,"3 (calls, visits)",9,PMKILONZO,Medium Priority
2349,2024-12-31,Consultation,Install product,46857762,Robert Lee,"Johnson, Wang and Green",129,106,369,Q2448,338110,22,Government,FloApp,Low-margin,"3 (calls, visits)",13,PMKILONZO,Medium Priority
2350,2024-12-06,Consultation,Inspect equipment,30811626,Laurie Reynolds,Clark PLC,139,106,376,Q2449,140818,1,Contractor,FloApp,High-margin,"6 (calls, visits, emails)",10,PMKILONZO,High Priority
2351,2024-11-07,Installation request,Inspect equipment,26684658,Mrs. Christina Bishop,Riggs PLC,179,858,326,Q2450,216690,11,Government,FloApp,Mixed,2 (calls),14,PMAMAI,Medium Priority
2352,2025-03-29,Installation request,Repair machinery,97723480,Andrew Patterson,"Jenkins, Gates and Meyer",109,858,317,Q2451,423679,20,NGO,Shopify,High-margin,"3 (calls, visits)",12,PMAMAI,Medium Priority
2353,2024-09-24,Installation request,Install product,47274007,Susan Fischer,Harris-Paul,179,514,310,Q2452,179172,27,Corporate,FloApp,High-margin,2 (calls),0,PMKILONZO,Medium Priority
2354,2025-04-02,Consultation,Upgrade system,57886411,Veronica Clark,Jensen LLC,56,445,305,Q2453,437852,22,Government,Shopify,Low-margin,1 (visit),0,PMAMAI,Low Priority
2355,2024-12-22,Consultation,Upgrade system,10077040,Luke Grant,Quinn Group,114,106,376,Q2454,55930,21,NGO,Website,High-margin,"5 (calls, visits)",4,PMAMAI,Medium Priority
2356,2024-09-30,Installation request,Upgrade system,70126983,Sara Cowan,Payne and Sons,53,369,364,Q2455,402547,3,Contractor,FloApp,Mixed,"6 (calls, visits, emails)",5,PMNYABUTO,Medium Priority
2357,2024-07-28,Service call,Repair machinery,69868212,Hunter Miller,"Woods, Davis and Shaw",151,369,323,Q2456,116744,17,Individual,FloApp,High-margin,"3 (calls, visits)",15,PMMULWA,Medium Priority
2358,2024-05-16,Service call,Repair machinery,99718554,Sarah Ramos,Brooks-Cooper,101,106,375,Q2457,337211,9,Contractor,Website,High-margin,1 (visit),8,PMKILONZO,Medium Priority
2359,2024-10-06,Consultation,Install product,49779670,Travis Hill,Harmon Inc,68,445,400,Q2458,78361,22,Contractor,Walk-in,High-margin,1 (visit),10,PMNYABUTO,Medium Priority
2360,2024-07-25,Installation request,Upgrade system,40443045,Hannah Williams,"Irwin, Smith and Perez",47,369,398,Q2459,362184,16,Government,Walk-in,Mixed,1 (visit),13,PMMULWA,Medium Priority
2361,2024-07-28,Service call,Inspect equipment,14017307,Jason Perkins,Weiss-Hines,135,106,305,Q2460,338941,24,Reseller,Referral,High-margin,2 (calls),0,PMAMAI,Medium Priority
2362,2025-02-26,Service call,Inspect equipment,95354006,Thomas Thompson,Williams and Sons,36,106,336,Q2461,479411,22,NGO,Walk-in,High-margin,"5 (calls, visits)",10,PMNYABUTO,Medium Priority
2363,2024-12-29,Consultation,Install product,83175236,Lindsay Freeman,"Moses, Tran and Riley",177,445,336,Q2462,271169,17,Reseller,Shopify,High-margin,"6 (calls, visits, emails)",4,PMOMONDI,Medium Priority
2364,2024-05-10,Service call,Repair machinery,09006119,Samuel Joseph,Andrews Ltd,31,106,386,Q2463,316223,29,Government,Walk-in,High-margin,2 (calls),11,PMKILONZO,Medium Priority
2365,2025-01-27,Consultation,Install product,34591747,Tara Flores,Glass PLC,68,858,371,Q2464,331804,24,Contractor,Email,High-margin,2 (calls),14,PMMULWA,Medium Priority
2366,2024-07-19,Service call,Upgrade system,30970746,Lauren Patterson,Mckee-Zuniga,162,106,301,Q2465,192214,26,NGO,Referral,High-margin,"3 (calls, visits)",15,PMMULWA,Medium Priority
2367,2025-03-16,Consultation,Inspect equipment,87384268,Patricia Jimenez,Decker Group,15,106,397,Q2466,170886,5,Government,Email,High-margin,"4 (calls, visits)",13,PMOMONDI,Medium Priority
2368,2025-01-20,Consultation,Install product,64994955,Jason Thomas,Freeman-Owens,86,445,319,Q2467,297536,19,Government,Shopify,High-margin,1 (visit),1,PMKILONZO,Medium Priority
2369,2025-04-29,Installation request,Upgrade system,02392397,Robert Smith,"Reynolds, Martinez and Fields",127,369,329,Q2468,262160,24,NGO,FloApp,High-margin,1 (visit),2,PMKILONZO,Low Priority
2370,2024-07-11,Installation request,Repair machinery,51015877,Lori Silva,Lewis-Green,123,858,311,Q2469,141743,13,Corporate,Referral,High-margin,"5 (calls, visits)",1,PMNYABUTO,Medium Priority
2371,2024-10-25,Installation request,Repair machinery,91871780,Michael Odom,Cherry and Sons,172,514,365,Q2470,171985,6,Reseller,Email,High-margin,"5 (calls, visits)",5,PMOMONDI,Medium Priority
2372,2024-10-02,Installation request,Inspect equipment,50582671,Justin Ferguson,Warner-Garcia,78,445,358,Q2471,430731,26,Reseller,Walk-in,High-margin,1 (visit),9,PMNYABUTO,Medium Priority
2373,2024-07-16,Service call,Repair machinery,54176202,Steven Stevens,"Singleton, Gilbert and Bryant",74,369,327,Q2472,183063,16,Contractor,Website,High-margin,"4 (calls, visits)",4,PMMULWA,Medium Priority
2374,2024-05-24,Service call,Inspect equipment,64011009,Daniel Mcdonald,Smith-Freeman,97,369,350,Q2473,339757,3,NGO,Referral,High-margin,"4 (calls, visits)",9,PMOMONDI,Medium Priority
2375,2025-03-23,Service call,Upgrade system,86796625,Gina Patterson,Perry and Sons,54,858,372,Q2474,449145,12,Contractor,Walk-in,High-margin,"3 (calls, visits)",14,PMAMAI,High Priority
2376,2024-05-16,Service call,Repair machinery,11783814,Jessica Kelly,Mckinney and Sons,66,369,379,Q2475,441718,10,Corporate,Referral,High-margin,2 (calls),7,PMAMAI,High Priority
2377,2024-12-03,Installation request,Repair machinery,92906843,Lindsey Pratt,Johnson LLC,144,858,328,Q2476,49164,8,Contractor,Walk-in,Low-margin,"4 (calls, visits)",5,PMOMONDI,Medium Priority
2378,2024-09-26,Consultation,Install product,92568919,Michael Christian,Simon-Oliver,123,369,312,Q2477,279475,9,Individual,Referral,High-margin,2 (calls),0,PMMULWA,Medium Priority
2379,2024-12-15,Service call,Upgrade system,65530996,Zachary Gillespie,Perez-Walters,128,106,398,Q2478,117711,28,Contractor,FloApp,Low-margin,"5 (calls, visits)",5,PMKILONZO,Medium Priority
2380,2024-10-02,Installation request,Repair machinery,42735993,Deborah King,"Chavez, Wilson and Castro",131,514,350,Q2479,141020,4,NGO,Website,Mixed,1 (visit),7,PMOMONDI,Medium Priority
2381,2024-11-24,Service call,Install product,69279950,Paul Edwards,Perry-Perez,87,106,399,Q2480,455610,11,Contractor,Walk-in,High-margin,"4 (calls, visits)",3,PMOMONDI,Medium Priority
2382,2025-02-27,Service call,Install product,39637071,Jeffrey Brown,Payne Ltd,157,369,382,Q2481,152673,6,NGO,Referral,High-margin,"5 (calls, visits)",15,PMAMAI,High Priority
2383,2024-09-17,Consultation,Install product,62348130,Richard Frey,Roberts and Sons,10,514,382,Q2482,36365,5,Corporate,Referral,Low-margin,"4 (calls, visits)",3,PMKILONZO,Medium Priority
2384,2024-10-17,Service call,Repair machinery,49939166,Nancy Watson,Nguyen-Jackson,97,858,391,Q2483,401408,21,NGO,Email,High-margin,"5 (calls, visits)",11,PMMULWA,Medium Priority
2385,2024-07-19,Consultation,Inspect equipment,22505403,Charles Smith,Duncan-Bates,10,858,374,Q2484,350923,25,Individual,Walk-in,High-margin,"3 (calls, visits)",6,PMNYABUTO,Medium Priority
2386,2024-12-28,Consultation,Repair machinery,60128256,Lauren Morrison,"Gould, Hughes and Johnson",31,858,383,Q2485,354003,14,Reseller,Referral,Low-margin,"3 (calls, visits)",10,PMKILONZO,Medium Priority
2387,2024-09-10,Installation request,Upgrade system,84527424,Benjamin Evans,"Ross, Pratt and Sanders",83,369,356,Q2486,31736,25,Corporate,Website,Low-margin,"3 (calls, visits)",6,PMOMONDI,Medium Priority
2388,2024-10-26,Consultation,Install product,91851037,Michael Welch,Smith-Rowland,30,858,363,Q2487,249347,13,Corporate,Shopify,High-margin,"3 (calls, visits)",5,PMKILONZO,Medium Priority
2389,2025-05-01,Consultation,Upgrade system,79135788,Ryan Williams,"Cortez, Dyer and Martinez",27,369,303,Q2488,435912,18,Individual,Referral,High-margin,"6 (calls, visits, emails)",10,PMKILONZO,Medium Priority
2390,2024-10-06,Consultation,Install product,19047943,Angela Clements,"Dudley, Miller and Garcia",114,514,392,Q2489,352652,1,Individual,Walk-in,High-margin,"6 (calls, visits, emails)",3,PMKILONZO,Medium Priority
2391,2025-02-17,Installation request,Upgrade system,51771687,John Glass,"Peck, Jones and Castro",16,858,380,Q2490,458012,15,Corporate,Shopify,High-margin,2 (calls),4,PMNYABUTO,Medium Priority
2392,2024-05-28,Service call,Upgrade system,43403003,Christopher Christian,Duke LLC,41,106,345,Q2491,332114,4,Contractor,Walk-in,High-margin,"6 (calls, visits, emails)",9,PMOMONDI,High Priority
2393,2024-06-19,Installation request,Upgrade system,16988906,John Riley,"Clark, Kramer and Bryan",66,858,310,Q2492,68582,9,Individual,Referral,High-margin,1 (visit),1,PMAMAI,Medium Priority
2394,2024-12-04,Consultation,Repair machinery,08118070,Casey Jenkins,Chavez-Hudson,126,445,398,Q2493,153795,18,Government,Referral,Mixed,2 (calls),7,PMAMAI,Medium Priority
2395,2024-09-24,Service call,Repair machinery,97226616,Stephanie Butler,Mccormick PLC,76,858,344,Q2494,339278,21,Corporate,Referral,Mixed,"4 (calls, visits)",6,PMNYABUTO,Medium Priority
2396,2025-01-24,Installation request,Inspect equipment,94542402,Deborah Simpson,"Contreras, Brown and Diaz",36,858,384,Q2495,315321,6,Corporate,Shopify,High-margin,"5 (calls, visits)",2,PMMULWA,Medium Priority
2397,2025-01-26,Service call,Repair machinery,31660818,Craig Ramirez,Maldonado-Stewart,20,514,312,Q2496,433390,8,Corporate,Website,Mixed,"3 (calls, visits)",5,PMKILONZO,Medium Priority
2398,2024-05-16,Installation request,Inspect equipment,46921615,Gregory Eaton,Romero LLC,57,858,356,Q2497,478927,25,Individual,FloApp,High-margin,2 (calls),15,PMNYABUTO,Medium Priority
2399,2024-07-25,Installation request,Inspect equipment,01440481,Mary Huber,"Reed, Hayes and Price",98,369,331,Q2498,281381,30,NGO,Email,High-margin,"4 (calls, visits)",15,PMKILONZO,Medium Priority
2400,2025-03-17,Installation request,Upgrade system,12195539,Jordan Gonzales,Jacobs Inc,140,445,375,Q2499,248273,5,Individual,FloApp,Mixed,"5 (calls, visits)",9,PMMULWA,Medium Priority
2401,2024-11-02,Service call,Install product,02926156,Victor Dunn,Davis-Faulkner,88,858,380,Q2500,97398,10,Contractor,Shopify,Low-margin,"5 (calls, visits)",13,PMMULWA,Medium Priority
2402,2024-10-16,Installation request,Inspect equipment,79189124,Mark Butler,Lawrence Group,38,369,386,Q2501,53435,27,Reseller,Walk-in,Low-margin,"4 (calls, visits)",15,PMNYABUTO,Medium Priority
2403,2024-09-13,Consultation,Repair machinery,96429087,Monica Miller,"Webb, Novak and Mcbride",91,514,378,Q2502,256132,18,Individual,FloApp,Low-margin,"3 (calls, visits)",4,PMAMAI,Low Priority
2404,2024-10-19,Service call,Install product,05265365,David Smith,Martinez-Hayes,87,858,400,Q2503,369322,11,Contractor,Walk-in,High-margin,2 (calls),9,PMKILONZO,Medium Priority
2405,2024-11-12,Installation request,Install product,62061467,Daniel Johnson,Nguyen PLC,83,445,363,Q2504,404080,18,Reseller,Walk-in,High-margin,"5 (calls, visits)",9,PMAMAI,Medium Priority
2406,2024-07-07,Installation request,Install product,86608543,Ricardo Hodge PhD,"Gates, Flores and Wright",62,369,383,Q2505,345321,16,Individual,Website,High-margin,"5 (calls, visits)",4,PMNYABUTO,Medium Priority
2407,2024-08-15,Service call,Upgrade system,24273315,Ashley Rivera,Caldwell-Brown,175,369,388,Q2506,54412,29,Government,Email,Low-margin,"3 (calls, visits)",2,PMKILONZO,Low Priority
2408,2024-11-09,Installation request,Upgrade system,20959944,Peter Guerrero,Estrada PLC,123,514,350,Q2507,128353,13,Corporate,Walk-in,Low-margin,"5 (calls, visits)",13,PMNYABUTO,Medium Priority
2409,2024-08-16,Service call,Install product,38426130,Amy Reed,Saunders-Pearson,27,369,319,Q2508,39190,26,Contractor,Email,Low-margin,"3 (calls, visits)",8,PMNYABUTO,Medium Priority
2410,2025-01-08,Installation request,Inspect equipment,39832206,Nancy Fisher,Sloan-Bean,149,369,326,Q2509,419651,6,Reseller,Shopify,Low-margin,"4 (calls, visits)",0,PMOMONDI,Low Priority
2411,2024-11-06,Service call,Upgrade system,58034342,Joseph Thompson,Osborne Ltd,137,514,389,Q2510,133446,12,Contractor,FloApp,Low-margin,"3 (calls, visits)",9,PMKILONZO,Medium Priority
2412,2024-05-18,Consultation,Repair machinery,27250623,Teresa Ray,Jackson and Sons,16,106,347,Q2511,244837,8,Government,Email,Mixed,1 (visit),6,PMNYABUTO,Medium Priority
2413,2024-09-12,Installation request,Inspect equipment,85222569,Lee Taylor,"Herrera, Carter and Thompson",33,106,327,Q2512,221188,1,Corporate,Website,High-margin,"3 (calls, visits)",9,PMKILONZO,High Priority
2414,2024-05-18,Service call,Upgrade system,69443364,Philip Phillips,Turner-Hall,98,106,391,Q2513,387242,28,Corporate,Email,High-margin,1 (visit),6,PMOMONDI,Medium Priority
2415,2024-09-14,Consultation,Install product,15504368,Lisa Williams,Anderson LLC,83,445,381,Q2514,60723,1,NGO,Website,High-margin,1 (visit),11,PMKILONZO,Medium Priority
2416,2024-05-31,Installation request,Inspect equipment,04809003,Jimmy Johnson,Bridges-Brown,29,369,342,Q2515,125103,16,Corporate,Email,High-margin,"5 (calls, visits)",6,PMKILONZO,Medium Priority
2417,2025-04-13,Installation request,Upgrade system,77667395,Justin Hall,"Simpson, Riley and Beck",91,445,364,Q2516,51182,6,Contractor,Referral,Low-margin,1 (visit),12,PMOMONDI,Medium Priority
